Date : 2021-04-01 10:15:53
Directory : c:\xampp\htdocs\WebBasedHotelReserve\hotel
Total : 484 files,  27530 codes, 10254 comments, 5269 blanks, all 43053 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\InvoiceTest.php                                    | PHP      |        143 |          4 |         17 |        164 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Issuing\AuthorizationTest.php                      | PHP      |         69 |          4 |         13 |         86 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Issuing\CardTest.php                               | PHP      |         63 |          5 |         12 |         80 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Issuing\CardholderTest.php                         | PHP      |         71 |          4 |         11 |         86 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Issuing\DisputeTest.php                            | PHP      |         59 |          4 |         10 |         73 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Issuing\TransactionTest.php                        | PHP      |         49 |          4 |          9 |         62 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\MandateTest.php                                    | PHP      |         16 |          4 |          5 |         25 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\OAuthErrorObjectTest.php                           | PHP      |         12 |          4 |          5 |         21 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\OAuthTest.php                                      | PHP      |         86 |          4 |         13 |        103 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\OrderReturnTest.php                                | PHP      |         26 |          4 |          6 |         36 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\OrderTest.php                                      | PHP      |         79 |          4 |         11 |         94 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\PaymentIntentTest.php                              | PHP      |         94 |          4 |         12 |        110 |
